filename,1,2,3,4,5,total,outside
23_16_sparse_code.cha,32,0,21,0,58,111,0
23_17_sparse_code.cha,11,16,10,3,0,41,0
25_06_sparse_code.cha,0,0,0,0,0,903,903
25_07_sparse_code.cha,0,0,0,0,0,221,221
25_08_sparse_code.cha,46,11,11,1,0,69,0
25_09_sparse_code.cha,40,14,37,60,54,205,0
25_10_sparse_code.cha,41,1,4,46,0,92,0
25_11_sparse_code.cha,0,82,27,29,29,167,0
25_12_sparse_code.cha,44,6,6,8,9,90,0
25_13_sparse_code.cha,57,21,70,30,90,268,0
25_14_sparse_code.cha,0,104,84,68,0,256,0
25_15_sparse_code.cha,0,14,7,0,10,31,0
25_16_sparse_code.cha,0,0,72,8,31,111,0
25_17_sparse_code.cha,118,0,66,28,0,212,0
26_06_sparse_code.cha,0,0,0,0,0,408,408
26_07_sparse_code.cha,0,0,0,0,0,606,606
26_08_sparse_code.cha,46,41,40,41,36,215,1
26_09_sparse_code.cha,0,81,47,49,11,188,0
26_10_sparse_code.cha,82,44,24,72,5,227,0
26_11_sparse_code.cha,5,31,75,89,91,291,0
26_12_sparse_code.cha,51,34,10,34,0,129,0
26_13_sparse_code.cha,87,0,71,115,84,357,0
26_14_sparse_code.cha,0,33,45,81,0,159,0
26_15_sparse_code.cha,0,43,117,49,18,227,0
26_16_sparse_code.cha,130,91,0,62,0,283,0
26_17_sparse_code.cha,0,50,101,39,0,190,0
27_06_sparse_code.cha,0,0,0,0,0,845,845
27_07_sparse_code.cha,0,0,0,0,0,1505,1505
27_08_sparse_code.cha,175,110,57,0,106,448,0
27_09_sparse_code.cha,81,27,149,50,101,408,0
27_10_sparse_code.cha,119,107,36,34,309,605,0
27_11_sparse_code.cha,0,198,53,26,176,453,0
27_12_sparse_code.cha,124,261,123,153,10,671,0
27_13_sparse_code.cha,277,33,216,222,188,936,0
27_14_sparse_code.cha,667,152,230,0,0,1049,0
27_15_sparse_code.cha,0,214,183,0,78,475,0
27_16_sparse_code.cha,55,0,208,241,133,637,0
27_17_sparse_code.cha,0,0,203,96,256,555,0
28_06_sparse_code.cha,0,0,0,0,0,405,405
28_07_sparse_code.cha,0,0,0,0,0,660,660
28_08_sparse_code.cha,130,0,35,227,57,449,0
28_09_sparse_code.cha,97,26,82,55,84,344,0
28_10_sparse_code.cha,107,134,18,33,65,357,0
28_11_sparse_code.cha,47,0,35,93,84,259,0
28_12_sparse_code.cha,123,97,27,0,187,434,0
28_13_sparse_code.cha,144,0,48,86,35,313,0
28_14_sparse_code.cha,68,0,478,0,103,649,0
28_15_sparse_code.cha,0,166,0,54,96,316,0
28_16_sparse_code.cha,97,71,0,0,162,330,0
28_17_sparse_code.cha,39,0,77,85,0,201,0
29_06_sparse_code.cha,0,0,0,0,0,1195,1195
29_07_sparse_code.cha,0,0,0,0,0,1531,1531
29_08_sparse_code.cha,192,229,0,164,193,778,0
29_09_sparse_code.cha,84,0,80,102,59,325,0
29_10_sparse_code.cha,92,99,60,0,116,367,0
29_11_sparse_code.cha,181,70,121,282,0,654,0
29_12_sparse_code.cha,179,210,156,80,0,625,0
29_13_sparse_code.cha,134,165,155,0,121,575,0
29_14_sparse_code.cha,90,76,0,0,178,344,0
29_15_sparse_code.cha,174,0,149,0,132,455,0
29_16_sparse_code.cha,0,79,73,198,0,350,0
29_17_sparse_code.cha,229,125,125,0,0,479,0
30_06_sparse_code.cha,0,0,0,0,0,751,751
30_07_sparse_code.cha,0,0,0,0,0,627,627
30_08_sparse_code.cha,117,175,168,0,224,684,0
30_09_sparse_code.cha,120,94,77,69,112,472,0
30_10_sparse_code.cha,260,106,122,138,0,626,0
30_11_sparse_code.cha,10,118,138,114,20,416,6
30_12_sparse_code.cha,141,151,74,59,232,657,0
30_13_sparse_code.cha,51,76,62,173,156,518,0
30_14_sparse_code.cha,0,327,98,131,0,556,0
30_15_sparse_code.cha,119,0,0,107,199,425,0
30_16_sparse_code.cha,239,0,100,178,0,517,0
30_17_sparse_code.cha,0,200,0,274,272,746,0
31_06_sparse_code.cha,0,0,0,0,0,1247,1247
31_07_sparse_code.cha,0,0,0,0,0,694,694
31_08_sparse_code.cha,0,11,3,189,87,290,0
31_09_sparse_code.cha,148,0,122,81,109,460,0
31_10_sparse_code.cha,176,144,22,168,0,510,0
31_11_sparse_code.cha,81,59,70,0,205,415,0
31_12_sparse_code.cha,77,65,193,136,0,471,0
31_13_sparse_code.cha,103,35,86,140,7,371,0
31_14_sparse_code.cha,184,115,52,0,103,454,0
31_15_sparse_code.cha,0,75,0,19,129,223,0
31_16_sparse_code.cha,58,0,0,111,160,329,0
31_17_sparse_code.cha,0,55,174,0,226,455,0
32_06_sparse_code.cha,0,0,0,0,0,1042,1042
32_07_sparse_code.cha,0,0,0,0,0,698,698
32_08_sparse_code.cha,163,143,142,69,0,517,0
32_09_sparse_code.cha,22,47,32,0,57,158,0
32_10_sparse_code.cha,0,7,91,18,5,121,0
32_11_sparse_code.cha,13,62,44,82,88,293,4
32_12_sparse_code.cha,83,16,37,135,58,329,0
32_13_sparse_code.cha,35,43,23,54,78,307,0
32_14_sparse_code.cha,50,7,7,0,116,180,0
32_15_sparse_code.cha,19,0,100,74,0,194,1
32_16_sparse_code.cha,91,86,0,28,0,205,0
32_17_sparse_code.cha,0,91,144,70,0,305,0
33_06_sparse_code.cha,0,0,0,0,0,1729,1729
33_07_sparse_code.cha,0,0,0,0,0,1312,1312
33_08_sparse_code.cha,189,91,119,0,121,520,0
33_09_sparse_code.cha,299,0,157,222,143,821,0
33_10_sparse_code.cha,0,42,110,89,169,410,0
33_11_sparse_code.cha,168,104,71,99,0,442,0
33_12_sparse_code.cha,133,335,0,123,190,781,0
33_13_sparse_code.cha,190,274,229,310,0,1003,0
33_14_sparse_code.cha,0,180,355,0,149,684,0
33_15_sparse_code.cha,105,170,0,273,0,548,0
33_16_sparse_code.cha,253,0,185,0,351,789,0
33_17_sparse_code.cha,223,0,283,0,369,875,0
34_06_sparse_code.cha,0,0,0,0,0,157,157
34_07_sparse_code.cha,0,0,0,0,0,318,318
34_08_sparse_code.cha,0,21,66,33,5,125,0
34_09_sparse_code.cha,0,4,61,0,22,87,0
34_10_sparse_code.cha,1,34,0,9,0,44,0
34_11_sparse_code.cha,23,12,0,59,20,114,0
34_12_sparse_code.cha,25,2,3,19,8,80,23
34_13_sparse_code.cha,2,0,0,43,73,118,0
34_14_sparse_code.cha,7,4,19,13,0,43,0
34_15_sparse_code.cha,0,22,0,58,40,120,0
34_16_sparse_code.cha,11,17,21,5,0,54,0
34_17_sparse_code.cha,0,0,21,0,4,25,0
35_06_sparse_code.cha,0,0,0,0,0,404,404
35_07_sparse_code.cha,0,0,0,0,0,857,857
35_08_sparse_code.cha,105,30,105,0,4,244,0
35_09_sparse_code.cha,40,58,42,91,6,237,0
35_10_sparse_code.cha,155,65,165,0,82,467,0
35_11_sparse_code.cha,0,80,12,14,54,160,0
35_12_sparse_code.cha,11,199,144,86,92,532,0
35_13_sparse_code.cha,218,16,80,163,181,658,0
35_14_sparse_code.cha,0,0,49,112,134,295,0
35_15_sparse_code.cha,37,31,76,28,0,172,0
35_16_sparse_code.cha,44,117,0,37,0,198,0
35_17_sparse_code.cha,0,87,212,83,0,382,0
36_06_sparse_code.cha,0,0,0,0,0,670,670
36_07_sparse_code.cha,0,0,0,0,0,551,551
36_08_sparse_code.cha,107,80,102,0,112,401,0
36_09_sparse_code.cha,71,0,62,72,65,270,0
36_10_sparse_code.cha,105,0,75,111,31,322,0
36_11_sparse_code.cha,7,41,73,0,119,240,0
36_12_sparse_code.cha,9,30,0,104,178,321,0
36_13_sparse_code.cha,87,85,129,0,48,349,0
36_14_sparse_code.cha,0,39,0,23,269,331,0
36_15_sparse_code.cha,39,2,32,0,30,103,0
36_16_sparse_code.cha,0,0,92,128,88,308,0
36_17_sparse_code.cha,88,0,33,0,62,183,0
37_06_sparse_code.cha,0,0,0,0,0,405,405
37_07_sparse_code.cha,0,0,0,0,0,400,400
37_08_sparse_code.cha,46,115,0,38,89,288,0
37_09_sparse_code.cha,76,53,0,37,65,231,0
37_10_sparse_code.cha,0,51,103,46,146,346,0
37_11_sparse_code.cha,0,128,37,108,44,317,0
37_12_sparse_code.cha,87,0,71,186,78,422,0
37_13_sparse_code.cha,80,0,64,25,47,216,0
37_14_sparse_code.cha,83,98,0,80,0,261,0
37_15_sparse_code.cha,0,22,22,95,0,139,0
37_16_sparse_code.cha,68,122,0,45,0,235,0
37_17_sparse_code.cha,93,0,79,71,0,243,0
38_06_sparse_code.cha,0,0,0,0,0,882,882
38_07_sparse_code.cha,0,0,0,0,0,859,859
38_08_sparse_code.cha,90,0,153,116,32,391,0
38_09_sparse_code.cha,38,27,28,0,0,93,0
38_10_sparse_code.cha,80,0,42,66,15,203,0
38_11_sparse_code.cha,86,0,68,99,127,380,0
38_12_sparse_code.cha,70,60,42,30,48,250,0
38_13_sparse_code.cha,145,139,100,0,88,472,0
38_14_sparse_code.cha,74,68,85,0,0,227,0
38_15_sparse_code.cha,0,212,236,102,0,550,0
38_16_sparse_code.cha,0,82,277,0,82,441,0
38_17_sparse_code.cha,0,0,90,114,46,250,0
39_06_sparse_code.cha,0,0,0,0,0,683,683
39_07_sparse_code.cha,0,0,0,0,0,745,745
39_08_sparse_code.cha,37,6,138,57,66,304,0
39_09_sparse_code.cha,218,84,24,26,2,354,0
39_10_sparse_code.cha,60,0,14,5,5,84,0
39_11_sparse_code.cha,74,29,0,61,86,250,0
39_12_sparse_code.cha,95,97,48,52,0,293,1
39_13_sparse_code.cha,59,14,0,2,50,127,2
39_14_sparse_code.cha,65,47,0,71,0,183,0
39_15_sparse_code.cha,24,0,62,0,14,100,0
39_16_sparse_code.cha,26,55,0,0,128,209,0
39_17_sparse_code.cha,0,47,2,51,43,143,0
40_06_sparse_code.cha,0,0,0,0,0,371,371
40_07_sparse_code.cha,0,0,0,0,0,383,383
40_08_sparse_code.cha,29,91,77,0,64,261,0
40_09_sparse_code.cha,107,0,140,102,82,431,0
40_10_sparse_code.cha,50,34,16,5,21,126,0
40_11_sparse_code.cha,2,122,94,113,1,355,0
40_12_sparse_code.cha,52,62,0,32,49,195,0
40_13_sparse_code.cha,49,43,12,30,0,134,0
40_14_sparse_code.cha,0,46,0,65,54,165,0
40_15_sparse_code.cha,5,87,0,7,201,300,0
40_16_sparse_code.cha,0,13,186,43,0,242,0
40_17_sparse_code.cha,121,0,118,0,103,342,0
41_06_sparse_code.cha,0,0,0,0,0,1511,1511
41_07_sparse_code.cha,0,0,0,0,0,1330,1330
41_08_sparse_code.cha,4,108,75,80,105,372,0
41_09_sparse_code.cha,190,34,49,124,62,464,5
41_10_sparse_code.cha,26,167,130,99,367,789,0
41_11_sparse_code.cha,22,137,212,94,129,594,0
41_12_sparse_code.cha,240,23,71,128,122,584,0
41_13_sparse_code.cha,245,88,247,107,243,930,0
41_14_sparse_code.cha,163,0,0,106,236,505,0
41_15_sparse_code.cha,116,0,163,0,101,380,0
41_16_sparse_code.cha,82,206,0,116,0,404,0
41_17_sparse_code.cha,298,331,0,171,0,800,0
42_06_sparse_code.cha,0,0,0,0,0,1281,1281
42_07_sparse_code.cha,0,0,0,0,0,826,826
42_08_sparse_code.cha,0,47,78,112,52,289,0
42_09_sparse_code.cha,153,66,104,186,0,509,0
42_10_sparse_code.cha,118,256,0,150,81,605,0
42_11_sparse_code.cha,164,105,120,98,101,588,0
42_12_sparse_code.cha,224,117,4,156,154,655,0
42_13_sparse_code.cha,229,238,0,93,97,657,0
42_14_sparse_code.cha,0,0,106,159,198,463,0
42_15_sparse_code.cha,134,233,0,168,0,535,0
42_16_sparse_code.cha,112,0,202,167,0,481,0
42_17_sparse_code.cha,476,0,326,177,0,979,0
43_06_sparse_code.cha,0,0,0,0,0,597,597
43_07_sparse_code.cha,0,0,0,0,0,809,809
43_08_sparse_code.cha,47,16,65,42,2,172,0
43_09_sparse_code.cha,61,59,0,15,16,151,0
43_10_sparse_code.cha,0,47,68,50,34,199,0
43_11_sparse_code.cha,127,37,21,22,45,252,0
43_12_sparse_code.cha,106,41,149,0,78,440,66
43_13_sparse_code.cha,25,224,60,56,55,429,9
43_14_sparse_code.cha,0,53,37,0,127,217,0
43_15_sparse_code.cha,0,66,70,192,0,328,0
43_16_sparse_code.cha,112,0,197,0,140,449,0
43_17_sparse_code.cha,125,145,0,0,239,509,0
44_06_sparse_code.cha,0,0,0,0,0,77,77
44_07_sparse_code.cha,0,0,0,0,0,240,240
44_08_sparse_code.cha,1,27,0,11,14,53,0
44_09_sparse_code.cha,5,0,25,38,8,76,0
44_10_sparse_code.cha,0,16,12,23,88,139,0
44_11_sparse_code.cha,16,77,44,18,0,155,0
44_12_sparse_code.cha,92,12,17,0,30,174,23
44_13_sparse_code.cha,23,0,76,29,134,262,0
44_14_sparse_code.cha,50,28,102,22,0,266,0
44_15_sparse_code.cha,64,62,0,52,0,178,0
44_16_sparse_code.cha,186,0,247,85,0,518,0
44_17_sparse_code.cha,54,88,54,0,0,196,0
45_06_sparse_code.cha,0,0,0,0,0,313,313
45_07_sparse_code.cha,0,0,0,0,0,294,294
45_08_sparse_code.cha,19,3,14,51,31,118,0
45_09_sparse_code.cha,35,19,17,11,25,107,0
45_10_sparse_code.cha,15,24,4,10,0,53,0
45_11_sparse_code.cha,13,20,16,0,25,74,0
45_12_sparse_code.cha,42,0,37,26,27,132,0
45_13_sparse_code.cha,49,16,48,0,45,158,0
45_14_sparse_code.cha,65,0,19,44,170,298,0
45_15_sparse_code.cha,31,0,0,24,48,103,0
45_16_sparse_code.cha,6,96,0,80,29,211,0
45_17_sparse_code.cha,59,59,0,0,155,273,0
46_06_sparse_code.cha,0,0,0,0,0,260,260
46_07_sparse_code.cha,0,0,0,0,0,356,356
46_08_sparse_code.cha,27,36,15,43,50,171,0
46_09_sparse_code.cha,57,24,41,0,27,149,0
46_10_sparse_code.cha,30,21,12,1,74,138,0
46_11_sparse_code.cha,0,70,25,24,105,224,0
46_12_sparse_code.cha,33,58,78,0,52,221,0
46_13_sparse_code.cha,83,104,107,0,96,390,0
46_14_sparse_code.cha,0,22,27,0,108,157,0
46_15_sparse_code.cha,93,0,191,0,36,320,0
46_16_sparse_code.cha,0,191,0,111,269,571,0
46_17_sparse_code.cha,152,0,187,37,0,376,0
